app_name,publisher,platform,rank_position,category,rating,review_count,pricing_type,iap_present,subscription_present,core_features,retention_mechanics,personalization_tags,source_url,collected_at
Rec Room,Rec Room,iOS,11,Social,4.7,200000,Free,Yes,Yes,UGC Metaverse,Daily Objectives,VR|UGC,https://apps.apple.com/app/rec-room/id1206180554,2026-05-21
VRChat,VRChat Inc.,Android,12,Social,4.2,50000,Free,No,Yes,Social VR,Community Worlds,VR|Social,https://play.google.com/store/apps/details?id=com.vrchat.mobile,2026-05-21
Highrise,Pocket Worlds,iOS,13,Social,4.5,100000,Free,Yes,Yes,Avatar Social Club,Events,2D|Social,https://apps.apple.com/app/highrise-virtual-metaverse/id924589679,2026-05-21
MovieStarPlanet,MovieStarPlanet,Android,14,Social,4.1,500000,Free,Yes,Yes,Social Game,Weekly Themes,Social|Kids,https://play.google.com/store/apps/details?id=air.com.moviestarplanet.android,2026-05-21
Toca Life World,Toca Boca,iOS,15,Education,4.4,1000000,Free,Yes,No,Digital Dollhouse,Weekly Gifts,Kids|Creative,https://apps.apple.com/app/toca-life-world/id1391759426,2026-05-21
PK XD,Afterverse,Android,16,Adventure,4.5,2000000,Free,Yes,Yes,Open World Social,Minigame Seasons,Kids|Social,https://play.google.com/store/apps/details?id=com.movile.playkids.pkxd,2026-05-21
BuddyPoke,BuddyPoke,iOS,17,Social,4.2,10000,Free,Yes,No,3D Avatars,Animations,3D|Friends,https://apps.apple.com/app/buddypoke-3d-avatar-creator/id451270246,2026-05-21
ItsMe,ItsMe,Android,18,Social,4.0,20000,Free,Yes,No,Avatar Video Chat,Random Connect,Social|Privacy,https://play.google.com/store/apps/details?id=com.itsme.app,2026-05-21
Boo,Boo,iOS,19,Social,4.3,50000,Free,Yes,Yes,Personality Matching,Daily Feed,Dating|Psychology,https://apps.apple.com/app/boo-dating-friends-chat/id1437142104,2026-05-21
FaceEmoji,FaceEmoji,Android,20,Social,4.2,100000,Free,Yes,Yes,Emoji Keyboard,Personalization,Keyboard|Utility,https://play.google.com/store/apps/details?id=com.faceemoji,2026-05-21
Meitu,Meitu,iOS,21,Photo & Video,4.8,1000000,Free,Yes,Yes,AI Photo Editor,Filters,Beauty|AI,https://apps.apple.com/app/meitu-ai-photo-video-editor/id416048305,2026-05-21
Genies,Genies,Android,22,Social,4.0,5000,Free,No,No,Avatar Integration,Brand Drops,Brands|3D,https://play.google.com/store/apps/details?id=com.genies,2026-05-21
Ready Player Me,Wolf3D,iOS,23,Utilities,4.5,1000,Free,No,No,Cross-game Avatars,Hub,B2B|Metaverse,https://apps.apple.com/app/ready-player-me/id1571431633,2026-05-21
Woozworld,Woozworld,Android,24,Social,4.0,100000,Free,Yes,Yes,Virtual Fashion World,Style Contests,Fashion|Social,https://play.google.com/store/apps/details?id=com.woozworld.woozworld.mobile,2026-05-21
Avatoon,IdeaWalk,iOS,25,Social,4.7,300000,Free,Yes,Yes,Cartoon Avatar Maker,Daily Coins,Cartoon|Creative,https://apps.apple.com/app/avatoon-avatar-creator/id1491223126,2026-05-21
Dollify,Dave XP,Android,26,Lifestyle,4.6,500000,Free,Yes,No,Cute Avatar Maker,Sharing,Art|Simple,https://play.google.com/store/apps/details?id=com.davexp.dollify,2026-05-21
Pastel Girl,SeyeonSoft,iOS,27,Casual,4.8,100000,Free,Yes,No,Pastel Aesthetics,Relaxation,Healing|Art,https://apps.apple.com/app/pastel-girl/id1346700492,2026-05-21
Lily Diary,SeyeonSoft,Android,28,Casual,4.7,200000,Free,Yes,No,Dress Up Hub,Collections,Fashion|Art,https://play.google.com/store/apps/details?id=com.seyeonsoft.lilydiary,2026-05-21
Unnie Doll,SeyeonSoft,iOS,29,Casual,4.6,50000,Free,Yes,No,Cute Unnie Maker,Dressing,K-Style|Art,https://apps.apple.com/app/unnie-doll/id1438234321,2026-05-21
Oppa Doll,SeyeonSoft,Android,30,Casual,4.6,40000,Free,Yes,No,Cute Oppa Maker,Dressing,K-Style|Art,https://play.google.com/store/apps/details?id=com.seyeonsoft.oppadoll,2026-05-21
Vlinder Doll,31 Dress up Games,iOS,31,Casual,4.5,20000,Free,Yes,No,Anime Dressup,Gacha,Anime|Fashion,https://apps.apple.com/app/vlinder-doll-dress-up-games/id1527339452,2026-05-21
Avatar Maker: Anime,Avatars,Android,32,Casual,4.4,100000,Free,Yes,No,Anime Portraits,Profile Pics,Anime|Generator,https://play.google.com/store/apps/details?id=com.avatars.animemaker,2026-05-21
SuperMoji,SuperMoji,iOS,33,Entertainment,4.3,10000,Free,No,No,AR Emoji,Real-time tracking,AR|Fun,https://apps.apple.com/app/supermoji-the-emoji-app/id1300713928,2026-05-21
Mirror AI,Mirror AI,Android,34,Social,4.5,100000,Free,Yes,Yes,Personalized Emoji,WhatsApp Support,AI|Stickers,https://play.google.com/store/apps/details?id=com.mirrorai.mirror,2026-05-21
Noom,Noom Inc,iOS,1,Health/Fitness,4.7,500000,Free,No,Yes,Psychology-based Weight Loss,Habit Tracking,Diet|Behavior,https://apps.apple.com/app/noom-weight-loss-health/id634515564,2026-05-21
BetterHelp,BetterHelp,iOS,2,Health/Fitness,4.8,100000,Free,No,Yes,Online Therapy,Message-based Coaching,Medical|Therapy,https://apps.apple.com/app/betterhelp-therapy/id995252073,2026-05-21
Future,Future Performance,iOS,3,Fitness,4.9,10000,Free,No,Yes,Personal Training,1-on-1 Video calls,Performance|Fitness,https://www.future.co/,2026-05-21
MasterClass,Yanka Industries,iOS,4,Education,4.8,100000,Free,No,Yes,Celebrity Led Courses,Video Lessons,Learning|Inspiration,https://apps.apple.com/app/masterclass-learn-new-skills/id1050075518,2026-05-21
LinkedIn Learning,LinkedIn,iOS,5,Education,4.7,50000,Free,No,Yes,Professional Skills,Certifications,Work|Career,https://apps.apple.com/app/linkedin-learning/id1084440492,2026-05-21
Coursera,Coursera Inc,Android,6,Education,4.7,500000,Free,Yes,Yes,University Courses,Degree Programs,Career|Education,https://play.google.com/store/apps/details?id=org.coursera.android,2026-05-21
Duolingo,Duolingo,iOS,7,Education,4.7,2000000,Free,Yes,Yes,Language Learning,Gamification Streak,Skills|Language,https://apps.apple.com/app/duolingo/id500116666,2026-05-21
Replika,Luka Inc,iOS,8,Health/Fitness,4.5,200000,Free,Yes,Yes,AI Companion,Emotional Support,AI|Mental Health,https://apps.apple.com/app/replika-my-ai-friend/id1159937538,2026-05-21
Fitbit,Fitbit Inc,Android,9,Health/Fitness,4.3,1000000,Free,No,Yes,Health Tracking,Data Insights,Wearable|Health,https://play.google.com/store/apps/details?id=com.fitbit.FitbitMobile,2026-05-21
MyFitnessPal,MyFitnessPal,iOS,10,Health/Fitness,4.7,1000000,Free,No,Yes,Calorie Counting,Meal Logging,Health|Diet,https://apps.apple.com/app/myfitnesspal/id341232718,2026-05-21
BetterUp,BetterUp,iOS,11,Education,4.8,10000,Free,No,Yes,Professional Coaching,Resilience Training,Corporate|Career,https://apps.apple.com/app/betterup/id1040439626,2026-05-21
Noom,Noom,Android,12,Health,4.4,800000,Free,Yes,Yes,Psychology-based Weight Loss,Habit Tracking,Health|Psychology,https://play.google.com/store/apps/details?id=com.wms.noom,2026-05-21
Coursera,Coursera,iOS,13,Education,4.8,200000,Free,No,Yes,Professional Certificates,Guided Projects,Academic|Upskilling,https://apps.apple.com/app/coursera/id736535961,2026-05-21
MasterClass,MasterClass,iOS,14,Education,4.8,150000,Free,No,Yes,Celebrity-led courses,High Production Video,Prestige|Skills,https://apps.apple.com/app/masterclass-learn-new-skills/id1050075254,2026-05-21
Coach.me,Coach.me,Android,15,Productivity,4.3,20000,Free,Yes,Yes,Habit Coaching,Community Support,Habits|Accountability,https://play.google.com/store/apps/details?id=com.lift.app,2026-05-21
Fabulous,Fabulous,iOS,16,Lifestyle,4.6,500000,Free,Yes,Yes,Routine Building,Behavioral Science,Habit|Motivation,https://apps.apple.com/app/fabulous-daily-routine-planner/id1203637303,2026-05-21
BetterHelp,BetterHelp,Android,17,Health,4.7,100000,Free,No,Yes,Live Therapy,Secure Messaging,Counseling|Clinical,https://play.google.com/store/apps/details?id=com.betterhelp,2026-05-21
MyFitnessPal,MyFitnessPal,iOS,18,Health,4.7,1500000,Free,Yes,Yes,Macro Tracking,Exercise Logs,Fitness|Data,https://apps.apple.com/app/myfitnesspal/id341232718,2026-05-21
Duolingo,Duolingo,Android,19,Education,4.7,20000000,Free,Yes,Yes,Gamified Language Learning,Leaderboards,Gamification|Language,https://play.google.com/store/apps/details?id=com.duolingo,2026-05-21
Peloton,Peloton,iOS,20,Health,4.9,1000000,Free,Yes,Yes,Live Fitness Classes,Athlete Tracking,Community|Workout,https://apps.apple.com/app/peloton-at-home-fitness/id792750948,2026-05-21
BetterUp,BetterUp,iOS,5,Business,4.8,10000,Paid,No,Yes,1-on-1 Coaching,Goal Tracking,Professional|Leadership,https://apps.apple.com/app/betterup/id1044426578,2026-05-21
Coach.me,Coach.me,Android,6,Health & Fitness,4.5,20000,Free,Yes,Yes,Habit Coaching,Community Support,Habits|Goals,https://play.google.com/store/apps/details?id=com.liftworldwide.lift,2026-05-21
Noom,Noom Inc.,iOS,7,Health & Fitness,4.7,500000,Free,Yes,Yes,Weight Loss Psychology,Daily Lessons,WeightLoss|Psychology,https://apps.apple.com/app/noom-weight-loss-health/id363590051,2026-05-21
MyFitnessPal,MyFitnessPal,Android,8,Health & Fitness,4.6,2500000,Free,Yes,Yes,Calorie Counting,Streaks,Diet|Fitness,https://play.google.com/store/apps/details?id=com.myfitnesspal.android,2026-05-21
Lifesum,Lifesum,iOS,9,Health & Fitness,4.7,100000,Free,Yes,Yes,Meal Planning,Water Tracker,Diet|Habits,https://apps.apple.com/app/lifesum-diet-weight-loss/id475149620,2026-05-21
Fabulous,The Fabulous,Android,10,Health & Fitness,4.6,400000,Free,Yes,Yes,Routine Building,Journeys,Habits|MentalHealth,https://play.google.com/store/apps/details?id=co.thefabulous.app,2026-05-21
Habitica,HabitRPG,iOS,11,Productivity,4.8,50000,Free,Yes,No,Gamified Habits,Avatar RPG,Gamification|Habits,https://apps.apple.com/app/habitica/id994882113,2026-05-21
Streaks,Crunchy Bagel,iOS,12,Health & Fitness,4.8,20000,Paid,No,No,To-do List Habits,Streaks,Minimal|Habits,https://apps.apple.com/app/streaks/id963034692,2026-05-21
Way of Life,Way of Life,Android,13,Health & Fitness,4.6,10000,Free,Yes,Yes,Trend Charts,Reminders,Data|Habits,https://play.google.com/store/apps/details?id=com.wayoflife.app,2026-05-21
Strides,Strides,iOS,14,Productivity,4.8,15000,Free,Yes,Yes,Goal Tracking,Milestones,Goals|Business,https://apps.apple.com/app/strides-goal-habit-tracker/id671632505,2026-05-21
Productive,Apalon,Android,15,Productivity,4.5,100000,Free,Yes,Yes,Daily Planner,Success Stats,Habits|Planner,https://play.google.com/store/apps/details?id=com.apalon.productive,2026-05-21
Done,TreeBetty,iOS,16,Health & Fitness,4.7,30000,Free,Yes,Yes,Simple Habit Tracker,Progress Bars,Productive|Minimal,https://apps.apple.com/app/done-a-simple-habit-tracker/id1103961876,2026-05-21
Loop Habit Tracker,Alora,Android,17,Productivity,4.8,100000,Free,No,No,Ad-free Tracker,Open Source,Privacy|Habits,https://play.google.com/store/apps/details?id=org.isoron.uhabits,2026-05-21
GoalsWon,GoalsWon,iOS,18,Productivity,4.9,1000,Paid,No,Yes,Human Accountability,Daily Review,Human|Goals,https://apps.apple.com/app/goalswon/id1534005881,2026-05-21
Clarity,Clarity,Android,19,Productivity,4.6,5000,Free,Yes,Yes,Executive Coaching,Resource Library,Business|Focus,https://play.google.com/store/apps/details?id=com.clarity,2026-05-21
GrowthSpace,GrowthSpace,iOS,20,Business,4.7,500,Paid,No,Yes,Employee Development,Missions,Corporate|Skills,https://apps.apple.com/app/growthspace/id1500030000,2026-05-21
Torch,Torch,Android,21,Business,4.5,200,Paid,No,Yes,Leadership Coaching,Assessments,Corporate|Leadership,https://play.google.com/store/apps/details?id=com.torch,2026-05-21
Sharpist,Sharpist,iOS,22,Business,4.8,1000,Paid,No,Yes,Guided Coaching,Mobile Learning,Learning|Professional,https://apps.apple.com/app/sharpist/id1453255153,2026-05-21
Bravely,Bravely,Android,23,Business,4.6,300,Paid,No,Yes,Urgent Support,HR Integration,Corporate|Crisis,https://play.google.com/store/apps/details?id=com.bravely,2026-05-21
BetterHelp,BetterHelp,iOS,24,Health & Fitness,4.8,100000,Free,Yes,Yes,Teletherapy,Daily Journal,MentalHealth|Online,https://apps.apple.com/app/betterhelp-therapy/id995252057,2026-05-21
Talkspace,Talkspace,Android,25,Health & Fitness,4.3,50000,Free,Yes,Yes,Online Therapy,Weekly Sessions,MentalHealth|Support,https://play.google.com/store/apps/details?id=com.talkspace.talkspace,2026-05-21
Ginger,Ginger.io,iOS,26,Health & Fitness,4.7,5000,Paid,No,Yes,Emotional Support,Text-based Coach,MentalHealth|Corporate,https://apps.apple.com/app/ginger-emotional-support/id552467389,2026-05-21
Mindset,Mindset,Android,27,Health & Fitness,4.5,10000,Free,Yes,Yes,Audio Lessons,Celeb Mentors,Mindset|Audio,https://play.google.com/store/apps/details?id=com.mindset,2026-05-21
Simple Habit,Simple Habit,iOS,28,Health & Fitness,4.8,50000,Free,Yes,Yes,5-Min Meditations,Contextual Coaching,Mindfulness|Coaching,https://apps.apple.com/app/simple-habit-meditation/id1093360165,2026-05-21
ThinkUp,ThinkUp,Android,29,Health & Fitness,4.6,20000,Free,Yes,Yes,Positive Affirmations,Self-Talk,Mindset|Positive,https://play.google.com/store/apps/details?id=com.thinkup.thinkup,2026-05-21
Motivation,Monkey Taps,iOS,30,Health & Fitness,4.8,400000,Free,Yes,Yes,Inspiring Quotes,Widgets,Mindset|Quotes,https://apps.apple.com/app/motivation-daily-quotes/id876080126,2026-05-21
I am,Monkey Taps,Android,31,Health & Fitness,4.8,100000,Free,Yes,Yes,Daily Affirmations,Reminders,Identity|Positive,https://play.google.com/store/apps/details?id=com.iam.app,2026-05-21
Gratitude,Pritesh Sankhe,iOS,32,Health & Fitness,4.9,50000,Free,Yes,Yes,Journaling,Vision Board,Journal|Mindset,https://apps.apple.com/app/gratitude-journal-reminders/id1372575227,2026-05-21
Day One,Automattic,Android,33,Lifestyle,4.7,100000,Free,Yes,Yes,Digital Journaling,Reminders,Journal|Private,https://play.google.com/store/apps/details?id=com.dayoneapp.dayone,2026-05-21
Reflectly,Reflectly,iOS,34,Health & Fitness,4.6,150000,Free,Yes,Yes,AI Diary,Emotional Tracking,AI|Journal,https://apps.apple.com/app/reflectly-journal-ai-diary/id1241221351,2026-05-21
Calm,Calm.com,iOS,1,Mindfulness,4.8,1500000,Free,No,Yes,Sleep Stories,Guided Meditations,Wellbeing|Sleep,https://apps.apple.com/app/calm/id571800811,2026-05-21
Headspace,Headspace Inc,iOS,2,Mindfulness,4.8,900000,Free,No,Yes,Meditation Courses,Mindful Moments,Mindfulness|Focus,https://apps.apple.com/app/headspace-meditation-sleep/id493145008,2026-05-21
Insight Timer,Insight Network,Android,3,Mindfulness,4.9,400000,Free,Yes,Yes,Free Meditation Library,Timer Function,Community|Yoga,https://play.google.com/store/apps/details?id=com.spotlightsix.ztimes,2026-05-21
Balance,Elevate Labs,iOS,4,Mindfulness,4.9,100000,Free,No,Yes,Personalized Meditation,Progress Path,Individualized|Spirit,https://apps.apple.com/app/balance-meditation-sleep/id1361350410,2026-05-21
Waking Up,Waking Up LLC,iOS,5,Mindfulness,4.9,50000,Free,No,Yes,Philosophy Courses,Mindfulness Theory,Spirituality|Logic,https://apps.apple.com/app/waking-up-meditation/id1307736340,2026-05-21
10% Happier,10% Happier,iOS,6,Mindfulness,4.8,70000,Free,No,Yes,Practical Meditation,Skeptic-friendly Content,Health|Pragmatic,https://apps.apple.com/app/10-happier-meditation/id835927564,2026-05-21
The Mindfulness App,MindApps,Android,7,Mindfulness,4.4,100000,Free,Yes,Yes,Timed Sessions,Reminders,Simple|Mindful,https://play.google.com/store/apps/details?id=se.mindapps.themindfulnessapp,2026-05-21
Simple Habit,Simple Habit,iOS,8,Mindfulness,4.8,50000,Free,No,Yes,5-minute Meditation,Stress Relief,Quick|Focus,https://apps.apple.com/app/simple-habit-daily-meditation/id1093360526,2026-05-21
Aura,Aura Health,iOS,9,Mindfulness,4.7,30000,Free,No,Yes,AI Coaching,Mood Tracking,Adaptive|Care,https://apps.apple.com/app/aura-meditation-sleep/id1052216403,2026-05-21
Stop Breathe & Think,Meredith Corp,Android,10,Mindfulness,4.6,50000,Free,Yes,Yes,Emotional Check-in,Recommended Sessions,Feeling|Aware,https://play.google.com/store/apps/details?id=org.stopbreathethink.app,2026-05-21
Insight Timer,Insight Network,iOS,11,Health,4.9,400000,Free,Yes,Yes,Huge Free Library,Live Sessions,Community|Meditation,https://apps.apple.com/app/insight-timer-meditation-app/id337472899,2026-05-21
10% Happier,10% Happier,Android,12,Health,4.8,50000,Free,Yes,Yes,Skeptical-focused Meditation,Course-based,Practical|Focus,https://play.google.com/store/apps/details?id=com.changecollective.tenpercenthappier,2026-05-21
Simple Habit,Simple Habit,iOS,13,Health,4.7,100000,Free,Yes,Yes,5-minute Meditations,Contextual Topics,Busy Professionals|Quick,https://apps.apple.com/app/simple-habit-meditation/id1093360546,2026-05-21
Smiling Mind,Smiling Mind,iOS,14,Education,4.8,25000,Free,No,No,Non-profit Meditation,School Programs,Accessible|Youth,https://apps.apple.com/app/smiling-mind/id560442518,2026-05-21
Oak,Oak Meditations,iOS,15,Health,4.8,30000,Free,No,No,Minimalist Design,Unboxed Meditations,Minimalist|UI,https://apps.apple.com/app/oak-meditation-breathing/id1210118319,2026-05-21
Breethe,Breethe,Android,16,Health,4.6,75000,Free,Yes,Yes,Hypnotherapy Sessions,Sleep Stories,Sleep|Therapy,https://play.google.com/store/apps/details?id=com.loop.breethe,2026-05-21
Balance,Elevate Labs,iOS,17,Health,4.9,80000,Free,Yes,Yes,Personalized Meditation,Interactive Lessons,Personalized|Interactive,https://apps.apple.com/app/balance-meditation-sleep/id1361350890,2026-05-21
Tide,Tide,Android,18,Health,4.7,50000,Free,Yes,Yes,Focus Timer (Pomodoro),Nature Sounds,Productivity|Calm,https://play.google.com/store/apps/details?id=io.moreless.tide,2026-05-21
Aura,Aura Health,iOS,19,Health,4.7,40000,Free,Yes,Yes,AI-driven Recommendations,Short Sessions,AI|Personalized,https://apps.apple.com/app/aura-meditation-sleep/id1114223104,2026-05-21
Pausa,Pausa,iOS,20,Health,4.5,5000,Free,Yes,Yes,Mindfulness for Work,Stress Relief,Workplace|Wellbeing,https://apps.apple.com/app/pausa/id123456789,2026-05-21
Calm,Calm.com,iOS,5,Health & Fitness,4.8,1500000,Free,Yes,Yes,Sleep Stories,Streaks,Sleep|Meditation,https://apps.apple.com/app/calm/id571800819,2026-05-21
Headspace,Headspace,Android,6,Health & Fitness,4.7,1000000,Free,Yes,Yes,Guided Meditation,The Wake Up,Education|Meditation,https://play.google.com/store/apps/details?id=com.getsomeheadspace.android,2026-05-21
Insight Timer,Insight Network,iOS,7,Health & Fitness,4.9,400000,Free,Yes,Yes,Community Meditation,Live Events,Community|Free,https://apps.apple.com/app/insight-timer-meditation-app/id337472899,2026-05-21
Waking Up,Waking Up,Android,8,Health & Fitness,4.8,50000,Free,Yes,Yes,Philosophy & Meditation,Course Progress,SamHarris|Philosophy,https://play.google.com/store/apps/details?id=com.wakingup.app,2026-05-21
10% Happier,10% Happier,iOS,9,Health & Fitness,4.8,80000,Free,Yes,Yes,Skeptical Meditation,Video Lessons,Practical|Meditation,https://apps.apple.com/app/10-happier-meditation/id835927334,2026-05-21
Balance,Elevate Labs,Android,10,Health & Fitness,4.8,50000,Free,Yes,Yes,Personalized Plans,Growth Map,Personalized|UX,https://play.google.com/store/apps/details?id=com.elevateapp.nobu,2026-05-21
Meditopia,Meditopia,iOS,11,Health & Fitness,4.7,100000,Free,Yes,Yes,Regional Meditation,Offline Access,Global|MentalHealth,https://apps.apple.com/app/meditopia-meditation-sleep/id1218541600,2026-05-21
Breethe,OMG. I Can Meditate!,Android,12,Health & Fitness,4.6,50000,Free,Yes,Yes,Life Coach Meditation,Sleep Soundscapes,Sleep|Lifestyle,https://play.google.com/store/apps/details?id=com.omgicanneditate,2026-05-21
Aura,Aura Health,iOS,13,Health & Fitness,4.7,40000,Free,Yes,Yes,Daily Micro-meditation,Mood Tracking,AI|Personalized,https://apps.apple.com/app/aura-meditation-sleep/id1114223104,2026-05-21
Smiling Mind,Smiling Mind,Android,14,Health & Fitness,4.4,20000,Free,No,No,Non-profit Mindfulness,School Programs,Education|Free,https://play.google.com/store/apps/details?id=com.smilingmind.app,2026-05-21
Oak,Kevin Rose,iOS,15,Health & Fitness,4.8,10000,Free,Yes,No,Simple Breathing,Plants Growing,Minimal|Gamified,https://apps.apple.com/app/oak-meditation-breathing/id1210118319,2026-05-21
Tide,Moreless,Android,16,Health & Fitness,4.7,30000,Free,Yes,Yes,Focus Timer + Nature,Zen Mode,Focus|Nature,https://play.google.com/store/apps/details?id=io.moreless.tide,2026-05-21
Zen,Zen,iOS,17,Health & Fitness,4.7,10000,Free,Yes,Yes,Programs & Courses,Reflections,Courses|Peace,https://apps.apple.com/app/zen-meditation-sleep/id1089932823,2026-05-21
Sanity & Self,Sanity & Self,Android,18,Health & Fitness,4.6,5000,Free,Yes,Yes,Women's Self-Care,Daily Audio,Women|SelfCare,https://play.google.com/store/apps/details?id=com.sanityself.sanityself,2026-05-21
Portal,Portal Labs,iOS,19,Health & Fitness,4.8,5000,Free,Yes,Yes,3D Soundscapes,Hue Integration,Immersive|Sound,https://apps.apple.com/app/portal-immersive-sleep/id1436144455,2026-05-21
Slumber,Slumber,Android,20,Health & Fitness,4.6,10000,Free,Yes,Yes,Sleep Stories + Hypnosis,Meditation Mix,Sleep|Hypnosis,https://play.google.com/store/apps/details?id=com.slumbersleepapp.slumber,2026-05-21
Louna,Loona,iOS,21,Health & Fitness,4.8,30000,Free,Yes,Yes,Sleepscapes & Coloring,Interactive Stories,Art|Sleep,https://apps.apple.com/app/loona-bedtime-calm-relax/id1447443834,2026-05-21
Endel,Endel,Android,22,Health & Fitness,4.5,50000,Free,Yes,Yes,Generative Soundscapes,Circadian Rhythm,AI|Sound,https://play.google.com/store/apps/details?id=com.endel.endel,2026-05-21
Rain Rain Sleep Sounds,Timur Gilfanov,iOS,23,Health & Fitness,4.8,100000,Free,Yes,No,Mixable Nature Sounds,Timers,Nature|WhiteNoise,https://apps.apple.com/app/rain-rain-sleep-sounds/id385449313,2026-05-21
Sleep Cycle,Sleep Cycle AB,Android,24,Health & Fitness,4.5,500000,Free,Yes,Yes,Sleep Tracking,Smart Alarm,Sleep|Analysis,https://play.google.com/store/apps/details?id=com.northcube.sleepcycle,2026-05-21
Pillow,Neybox,iOS,25,Health & Fitness,4.6,100000,Free,Yes,Yes,Automatic Sleep Tracking,Sleep Reports,Sleep|Health,https://apps.apple.com/app/pillow-sleep-tracker-alarm/id814318683,2026-05-21
SnoreLab,Reviva Softworks,Android,26,Health & Fitness,4.4,50000,Free,Yes,Yes,Snoring Monitor,Remedies,Sleep|Diagnostics,https://play.google.com/store/apps/details?id=com.snorelab.snorelab,2026-05-21
AutoSleep,Tantsissa,iOS,27,Health & Fitness,4.7,50000,Paid,No,No,Watch Sleep Tracking,Heart Rate,Watch|Sleep,https://apps.apple.com/app/autosleep-track-sleep-on-watch/id1165924249,2026-05-21
Rise,Rise Science,Android,28,Health & Fitness,4.7,10000,Free,Yes,Yes,Energy Tracking,Sleep Debt,Energy|Performance,https://play.google.com/store/apps/details?id=com.risescience.rise,2026-05-21
BetterSleep,Ipnos,iOS,29,Health & Fitness,4.8,250000,Free,Yes,Yes,Relax Melodies,Sleep Meditations,Sleep|Audio,https://apps.apple.com/app/bettersleep-sleep-tracker/id314498380,2026-05-21
Sleep Sounds,Relaxing Sounds,Android,30,Health & Fitness,4.8,1000000,Free,Yes,No,Nature Melodies,Offline,Nature|WhiteNoise,https://play.google.com/store/apps/details?id=com.mik601.sleepsounds,2026-05-21
Simple Habit Meditation,Simple Habit,iOS,31,Health & Fitness,4.8,50000,Free,Yes,Yes,On-the-go Meditation,Curated Playlists,Convenience|Meditation,https://apps.apple.com/app/simple-habit-meditation/id1093360165,2026-05-21
Sleep Time,Azumio,Android,32,Health & Fitness,4.3,100000,Free,Yes,Yes,Alarm & Cycle,Graphing,Sleep|Utility,https://play.google.com/store/apps/details?id=com.azumio.android.sleeptime,2026-05-21
Sleepzy,Apalon,iOS,33,Health & Fitness,4.5,20000,Free,Yes,Yes,Smart Wake Up,Sleep Tracking,Sleep|Data,https://apps.apple.com/app/sleepzy-sleep-cycle-tracker/id1060930842,2026-05-21
SleepBot,SleepBot,Android,34,Health & Fitness,4.0,100000,Free,No,No,Sleep Log,Alarm,Legacy|Utility,https://play.google.com/store/apps/details?id=com.lslk.sleepbot,2026-05-21
